127.0.0.1, 2014-11-02 21:11:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.017523
127.0.0.1, 2014-11-02 21:11:09, GET, /admin/static/images/save_icon.png, HTTP/1.1, 304, 0.000498
127.0.0.1, 2014-11-02 21:11:27, GET, /admin/default/site, HTTP/1.1, 200, 0.061332
127.0.0.1, 2014-11-02 21:11:27, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000681
127.0.0.1, 2014-11-02 21:11:27, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000349
127.0.0.1, 2014-11-02 21:20:28, GET, /bookmark/default/index, HTTP/1.1, 200, 0.530612
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000912
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/js/jquery.js, HTTP/1.1, 304, 0.000912
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/css/calendar.css, HTTP/1.1, 304, 0.000877
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/js/calendar.js, HTTP/1.1, 304, 0.000755
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/js/web2py.js, HTTP/1.1, 304, 0.000994
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/css/web2py.css, HTTP/1.1, 304, 0.000360
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000286
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000281
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000994
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000391
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002278
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/js/share.js, HTTP/1.1, 304, 0.000400
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/images/twitter.png, HTTP/1.1, 304, 0.000978
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/images/facebook.png, HTTP/1.1, 304, 0.000369
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/images/gplus-32.png, HTTP/1.1, 304, 0.000402
127.0.0.1, 2014-11-02 21:20:29, GET, /bookmark/static/images/favicon.ico, HTTP/1.1, 200, 0.000974
127.0.0.1, 2014-11-02 21:20:51, GET, /admin/default/edit/bookmark/static/css/web2py.css, HTTP/1.1, 200, 0.056590
127.0.0.1, 2014-11-02 21:20:51, GET, /admin/default/edit/bookmark/static/css/web2py.css, HTTP/1.1, 200, 0.059229
127.0.0.1, 2014-11-02 21:20:51, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000391
127.0.0.1, 2014-11-02 21:20:52, GET, /admin/default/edit/bookmark/static/css/web2py.css, HTTP/1.1, 200, 0.099003
127.0.0.1, 2014-11-02 21:20:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.131122
127.0.0.1, 2014-11-02 21:20:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.143272
127.0.0.1, 2014-11-02 21:20:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.017503
127.0.0.1, 2014-11-02 21:20:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.161320
127.0.0.1, 2014-11-02 21:20:52, GET, /admin/static/images/save_icon.png, HTTP/1.1, 304, 0.000528
127.0.0.1, 2014-11-02 21:20:58, GET, /bookmark/default/index, HTTP/1.1, 200, 0.124791
